"Name","Location","Symbol Type","Data Type","Namespace","Source","Reference Count","Offcut Ref Count"
"RunFunction","08000ef2","Function","undefined","Global","User Defined","93","0"
"JumpTable","08000ef4","Function","void","Global","User Defined","738","0"
"JumpTable","08000ef6","Function","undefined","Global","User Defined","29","0"
"FUN_08000efa","08000efa","Function","undefined","Global","Default","5","0"
"FUN_08000efc","08000efc","Function","undefined","Global","Default","1","0"
"FUN_08000efe","08000efe","Function","undefined","Global","Default","1","0"
"FUN_08000f00","08000f00","Function","undefined","Global","Default","1","0"
"thunk_EXT_FUN_03005e60","08000f10","Thunk Function","undefined","Global","Default","2","0"
"FUN_08000f14","08000f14","Function","undefined","Global","Default","1","0"
"FUN_08000f2c","08000f2c","Function","undefined","Global","Default","1","0"
"FUN_08001242","08001242","Function","undefined","Global","Default","7","1"
"FUN_08001290","08001290","Function","undefined","Global","Default","1","0"
"FUN_0800129e","0800129e","Function","undefined","Global","Default","45","0"
"FUN_080012dc","080012dc","Function","undefined","Global","Default","11","0"
"FUN_08001318","08001318","Function","undefined","Global","Default","2","0"
"thunk_FUN_080af18c","08001324","Thunk Function","undefined","Global","Default","9","0"
"thunk_FUN_080af1bc","08001328","Thunk Function","undefined","Global","Default","2","1"
"FUN_0800132c","0800132c","Function","undefined","Global","Default","3","0"
"AddrTable08001a7c","08001a7c","Data Label","undefined *","Global","Analysis","6","0"
"AddrTable08001dcc","08001dcc","Data Label","undefined *","Global","Analysis","3","0"
"FUN_08002632","08002632","Function","undefined","Global","Default","12","0"
"FUN_080026c4","080026c4","Function","undefined","Global","Default","2","0"
"FUN_080026f2","080026f2","Function","undefined","Global","Default","1","0"
"FUN_08002724","08002724","Function","undefined","Global","Default","2","0"
"AnalyzeStruct","0800279c","Function","byte","Global","User Defined","71","0"
"FUN_080027ea","080027ea","Function","undefined","Global","Default","6","0"
"FUN_08002864","08002864","Function","undefined","Global","Default","1","0"
"FUN_080028e0","080028e0","Function","undefined","Global","Default","3","0"
"FUN_080028f4","080028f4","Function","undefined","Global","Default","8","0"
"FUN_0800290e","0800290e","Function","undefined","Global","Default","5","0"
"FUN_0800293e","0800293e","Function","undefined","Global","Default","14","0"
"spritePointers","080029b4","Data Label","SpriteData","Global","User Defined","6","2"
"FUN_08003fc4","08003fc4","Function","undefined","Global","Default","147","0"
"FUN_08003fde","08003fde","Function","undefined","Global","Default","1","0"
"FUN_08003ff2","08003ff2","Function","undefined","Global","Default","1","0"
"FUN_0800404c","0800404c","Function","undefined","Global","Default","6","0"
"FUN_080040a2","080040a2","Function","undefined","Global","Default","2","0"
"FUN_080040a8","080040a8","Function","undefined","Global","Default","27","0"
"FUN_080040d8","080040d8","Function","undefined","Global","Default","6","0"
"FUN_080040e2","080040e2","Function","undefined","Global","Default","1","0"
"FUN_080040ec","080040ec","Function","int *","Global","Default","1","0"
"FUN_080040f2","080040f2","Function","undefined","Global","Default","2","0"
"FUN_08004168","08004168","Function","undefined","Global","Default","14","0"
"FUN_0800417e","0800417e","Function","undefined","Global","Default","16","0"
"FUN_0800419c","0800419c","Function","undefined","Global","Default","7","0"
"FUN_080041a0","080041a0","Function","undefined","Global","Default","48","0"
"mathOperation","080041dc","Function","undefined","Global","User Defined","8","0"
"Distance","080041e8","Function","undefined","Global","User Defined","2","0"
"Sqrt(x*x+y*y)","080041ec","Function","undefined","Global","User Defined","1","0"
"FUN_08004202","08004202","Function","undefined","Global","Default","7","0"
"emptyFunction","08004212","Function","void","Global","User Defined","1","0"
"SpriteRead","08004260","Function","undefined","Global","User Defined","841","0"
"FUN_08004274","08004274","Function","undefined","Global","Default","547","1"
"FUN_08004276","08004276","Function","undefined","Global","Default","24","0"
"FUN_080042ac","080042ac","Function","undefined","Global","Default","416","0"
"FUN_080042b8","080042b8","Function","undefined","Global","Default","351","0"
"FUN_080042ba","080042ba","Function","undefined","Global","Default","8","0"
"FUN_080042d0","080042d0","Function","undefined","Global","Default","18","0"
"RefreshPtrs","0800432a","Function","undefined","Global","User Defined","3","0"
"CreateDustEntity","080043a8","Function","undefined","Global","User Defined","2","1"
"FUN_080043ac","080043ac","Function","undefined","Global","Default","1","1"
"FUN_080043b4","080043b4","Function","undefined","Global","Default","2","1"
"FUN_080043e8","080043e8","Function","undefined","Global","Default","7","0"
"FUN_0800442e","0800442e","Function","undefined","Global","Default","16","0"
"FUN_0800445c","0800445c","Function","undefined","Global","Default","45","0"
"thunk_EXT_FUN_03005ff0","08004484","Thunk Function","void","Global","Default","8","0"
"FUN_08004488","08004488","Function","undefined","Global","Default","199","0"
"FUN_0800449c","0800449c","Function","undefined","Global","Default","17","0"
"FUN_080044ae","080044ae","Function","undefined","Global","Default","12","0"
"FUN_080044ec","080044ec","Function","undefined","Global","Default","29","0"
"FUN_0800451c","0800451c","Function","undefined","Global","Default","12","0"
"FUN_08004542","08004542","Function","undefined","Global","Default","10","0"
"FUN_0800455e","0800455e","Function","undefined","Global","Default","11","0"
"FUN_08004596","08004596","Function","undefined","Global","Default","31","0"
"FUN_080045b4","080045b4","Function","undefined","Global","Default","13","0"
"DistanceFunction","080045c4","Function","undefined","Global","User Defined","154","0"
"FUN_080045d4","080045d4","Function","void","Global","Default","39","0"
"GetPixelRatio","080045da","Function","int","Global","User Defined","38","0"
"AddrTable08007498","08007498","Data Label","undefined *","Global","Analysis","0","0"
"AddrTable08007b28","08007b28","Data Label","undefined *","Global","Analysis","0","0"
"FUN_08007dd6","08007dd6","Function","undefined","Global","Default","17","0"
"FUN_08007de0","08007de0","Function","void","Global","Default","3","0"
"FUN_0800857c","0800857c","Function","undefined","Global","Default","1","0"
"FUN_080085b0","080085b0","Function","undefined","Global","Default","7","0"
"FUN_080085cc","080085cc","Function","Entity *","Global","Default","2","0"
"GetStruct","080086b4","Function","playerStruct *","Global","User Defined","5","0"
"FUN_0800875a","0800875a","Function","undefined","Global","Default","2","0"
"FUN_08008782","08008782","Function","undefined","Global","Default","6","0"
"FUN_08008790","08008790","Function","undefined","Global","Default","9","0"
"FUN_08008796","08008796","Function","undefined","Global","Default","12","0"
"FUN_08008926","08008926","Function","undefined","Global","Default","2","0"
"FUN_0800892e","0800892e","Function","undefined","Global","Default","1","0"
"FUN_08008936","08008936","Function","undefined","Global","Default","1","0"
"FUN_08008942","08008942","Function","undefined","Global","Default","1","0"
"FUN_08008952","08008952","Function","undefined","Global","Default","0","0"
"FUN_08008a1a","08008a1a","Function","undefined","Global","Default","2","0"
"FUN_08008a46","08008a46","Function","undefined","Global","Default","2","0"
"FUN_08008a88","08008a88","Function","undefined","Global","Default","2","0"
"FUN_08008aa0","08008aa0","Function","undefined","Global","Default","2","0"
"FUN_08008ac6","08008ac6","Function","undefined","Global","Default","2","0"
"FUN_08008aee","08008aee","Function","undefined","Global","Default","1","0"
"FUN_08008b02","08008b02","Function","undefined","Global","Default","1","0"
"FUN_08008b22","08008b22","Function","undefined","Global","Default","5","0"
"shortToInt","08016986","Function","uint","Global","User Defined","2","0"
